caption,comment,label
Tư vấn pháp luật Hôn nhân và gia đình,"Khi kết hôn, nam từ đủ 20 tuổi, nữ từ đủ 18 tuổi trở lên mới hợp pháp.",0
Tư vấn pháp luật Hôn nhân và gia đình,Người chưa đủ tuổi vẫn có thể đăng ký kết hôn nếu được cha mẹ đồng ý.,1
Hỏi đáp Di trú,Người lao động bị tai nạn trong khi làm việc được hưởng bảo hiểm theo quy định.,0
Hỏi đáp Di trú,Người lao động tự chịu chi phí điều trị khi bị tai nạn tại nơi làm việc.,1
Tư vấn miễn phí lĩnh vực Doanh nghiệp,Người lao động tự chịu chi phí điều trị khi bị tai nạn tại nơi làm việc.,1
Tư vấn miễn phí lĩnh vực Doanh nghiệp,Người lao động bị tai nạn trong khi làm việc được hưởng bảo hiểm theo quy định.,0
Quy định mới về Di trú,Hợp đồng dân sự có thể vô hiệu dù các bên tự nguyện ký kết.,1
Quy định mới về Di trú,Hợp đồng dân sự có hiệu lực khi các bên tự nguyện và có năng lực hành vi dân sự.,0
Thắc mắc về Dân sự,Hợp đồng dân sự có hiệu lực khi các bên tự nguyện và có năng lực hành vi dân sự.,0
Thắc mắc về Dân sự,Hợp đồng dân sự có thể vô hiệu dù các bên tự nguyện ký kết.,1
Hỏi đáp Công chứng,Người phạm tội do cố ý bị xử lý nghiêm khắc hơn tội phạm vô ý.,0
Hỏi đáp Công chứng,Người chưa thành niên phạm tội bị xử lý như người trưởng thành.,1
Câu hỏi pháp lý – An toàn lao động,Người lao động bị tai nạn trong khi làm việc được hưởng bảo hiểm theo quy định.,0
Câu hỏi pháp lý – An toàn lao động,Người lao động tự chịu chi phí điều trị khi bị tai nạn tại nơi làm việc.,1
Hỏi đáp Sở hữu trí tuệ,Khi chuyển nhượng quyền sử dụng đất phải có giấy chứng nhận và công chứng hợp đồng.,0
Hỏi đáp Sở hữu trí tuệ,Mua bán đất chỉ cần thỏa thuận bằng miệng giữa hai bên là có hiệu lực.,1
Trao đổi về vấn đề Thừa kế,Người lao động tự chịu chi phí điều trị khi bị tai nạn tại nơi làm việc.,1
Trao đổi về vấn đề Thừa kế,Người lao động bị tai nạn trong khi làm việc được hưởng bảo hiểm theo quy định.,0
Hỏi đáp Giao thông,Công dân không có quyền khiếu nại đối với quyết định hành chính.,1
Hỏi đáp Giao thông,"Công dân có quyền khiếu nại, tố cáo hành vi sai trái của cơ quan nhà nước.",0
Thắc mắc về Thừa kế,Mua bán đất chỉ cần thỏa thuận bằng miệng giữa hai bên là có hiệu lực.,1
Thắc mắc về Thừa kế,Khi chuyển nhượng quyền sử dụng đất phải có giấy chứng nhận và công chứng hợp đồng.,0
Trao đổi về vấn đề Đất đai,Khi chuyển nhượng quyền sử dụng đất phải có giấy chứng nhận và công chứng hợp đồng.,0
Trao đổi về vấn đề Đất đai,Mua bán đất chỉ cần thỏa thuận bằng miệng giữa hai bên là có hiệu lực.,1
Xin tư vấn luật Hình sự,Người phạm tội do cố ý bị xử lý nghiêm khắc hơn tội phạm vô ý.,0
Xin tư vấn luật Hình sự,Người chưa thành niên phạm tội bị xử lý như người trưởng thành.,1
